"Plot Title: 10932527_brick8"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Abs pressure brick8)","Temp, °C (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Temp brick8)","Coupler Detached (LGR S/N: 10932527)","Coupler Attached (LGR S/N: 10932527)","Stopped (LGR S/N: 10932527)","End Of File (LGR S/N: 10932527)"
1,08/09/16 01:10:00 PM,112.882,30.659,Logged,,,
2,08/09/16 01:20:00 PM,112.651,30.558,,,,
3,08/09/16 01:30:00 PM,112.734,30.659,,,,
4,08/09/16 01:40:00 PM,112.674,30.659,,,,
5,08/09/16 01:50:00 PM,112.397,30.659,,,,
6,08/09/16 02:00:00 PM,112.952,30.659,,,,
7,08/09/16 02:10:00 PM,112.575,30.659,,,,
8,08/09/16 02:20:00 PM,112.252,30.760,,,,
9,08/09/16 02:30:00 PM,112.774,30.963,,,,
10,08/09/16 02:40:00 PM,112.827,31.064,,,,
11,08/09/16 02:50:00 PM,112.653,31.166,,,,
12,08/09/16 03:00:00 PM,111.890,31.166,,,,
13,08/09/16 03:10:00 PM,112.230,31.268,,,,
14,08/09/16 03:20:00 PM,112.630,31.370,,,,
15,08/09/16 03:30:00 PM,111.885,31.574,,,,
16,08/09/16 03:40:00 PM,111.716,31.574,,,,
17,08/09/16 03:50:00 PM,112.020,31.472,,,,
18,08/09/16 04:00:00 PM,111.182,31.574,,,,
19,08/09/16 04:10:00 PM,111.475,31.472,,,,
20,08/09/16 04:20:00 PM,111.667,31.574,,,,
21,08/09/16 04:30:00 PM,110.756,31.574,,,,
22,08/09/16 04:40:00 PM,110.878,31.370,,,,
23,08/09/16 04:50:00 PM,110.788,31.064,,,,
24,08/09/16 05:00:00 PM,110.676,30.963,,,,
25,08/09/16 05:10:00 PM,110.478,30.963,,,,
26,08/09/16 05:20:00 PM,110.551,31.064,,,,
27,08/09/16 05:30:00 PM,110.669,31.064,,,,
28,08/09/16 05:40:00 PM,110.979,31.166,,,,
29,08/09/16 05:50:00 PM,110.702,31.166,,,,
30,08/09/16 06:00:00 PM,110.709,31.064,,,,
31,08/09/16 06:10:00 PM,110.669,31.064,,,,
32,08/09/16 06:20:00 PM,110.801,30.862,,,,
33,08/09/16 06:30:00 PM,110.629,30.760,,,,
34,08/09/16 06:40:00 PM,110.207,30.558,,,,
35,08/09/16 06:50:00 PM,111.459,30.457,,,,
36,08/09/16 07:00:00 PM,110.843,30.356,,,,
37,08/09/16 07:10:00 PM,110.985,30.457,,,,
38,08/09/16 07:20:00 PM,111.588,30.457,,,,
39,08/09/16 07:30:00 PM,111.133,30.457,,,,
40,08/09/16 07:40:00 PM,111.390,30.457,,,,
41,08/09/16 07:50:00 PM,111.456,30.356,,,,
42,08/09/16 08:00:00 PM,111.654,30.356,,,,
43,08/09/16 08:10:00 PM,112.125,30.255,,,,
44,08/09/16 08:20:00 PM,111.809,30.255,,,,
45,08/09/16 08:30:00 PM,111.720,30.255,,,,
46,08/09/16 08:40:00 PM,111.983,30.154,,,,
47,08/09/16 08:50:00 PM,111.954,30.154,,,,
48,08/09/16 09:00:00 PM,112.422,29.953,,,,
49,08/09/16 09:10:00 PM,112.052,29.853,,,,
50,08/09/16 09:20:00 PM,112.798,29.953,,,,
51,08/09/16 09:30:00 PM,112.798,29.953,,,,
52,08/09/16 09:40:00 PM,113.026,29.953,,,,
53,08/09/16 09:50:00 PM,113.561,29.953,,,,
54,08/09/16 10:00:00 PM,113.373,29.953,,,,
55,08/09/16 10:10:00 PM,113.680,29.953,,,,
56,08/09/16 10:20:00 PM,113.448,29.853,,,,
57,08/09/16 10:30:00 PM,113.884,29.853,,,,
58,08/09/16 10:40:00 PM,113.765,29.853,,,,
59,08/09/16 10:50:00 PM,114.737,29.853,,,,
60,08/09/16 11:00:00 PM,114.182,29.853,,,,
61,08/09/16 11:10:00 PM,114.681,29.953,,,,
62,08/09/16 11:20:00 PM,114.357,30.054,,,,
63,08/09/16 11:30:00 PM,114.209,30.054,,,,
64,08/09/16 11:40:00 PM,114.787,30.154,,,,
65,08/09/16 11:50:00 PM,114.377,30.054,,,,
66,08/10/16 12:00:00 AM,114.903,30.054,,,,
67,08/10/16 12:10:00 AM,113.753,30.054,,,,
68,08/10/16 12:20:00 AM,114.139,30.054,,,,
