"Plot Title: 20416034"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20416034, SEN S/N: 20416034)","Intensity, Lux (LGR S/N: 20416034, SEN S/N: 20416034)","Coupler Attached (LGR S/N: 20416034)","Host Connected (LGR S/N: 20416034)","Stopped (LGR S/N: 20416034)","End Of File (LGR S/N: 20416034)"
103,07/16/19 03:00:00 PM,31.166,17911.2,,,,
104,07/16/19 04:00:00 PM,30.862,14466.8,,,,
105,07/16/19 05:00:00 PM,30.356,7577.8,,,,
106,07/16/19 06:00:00 PM,30.255,3788.9,,,,
107,07/16/19 07:00:00 PM,30.255,21.5,,,,
108,07/16/19 08:00:00 PM,30.154,0.0,,,,
109,07/16/19 09:00:00 PM,30.154,0.0,,,,
110,07/16/19 10:00:00 PM,30.154,0.0,,,,
111,07/16/19 11:00:00 PM,30.154,0.0,,,,
112,07/17/19 12:00:00 AM,30.054,0.0,,,,
113,07/17/19 01:00:00 AM,30.154,0.0,,,,
114,07/17/19 02:00:00 AM,30.054,0.0,,,,
115,07/17/19 03:00:00 AM,30.054,0.0,,,,
116,07/17/19 04:00:00 AM,30.054,0.0,,,,
117,07/17/19 05:00:00 AM,30.154,0.0,,,,
118,07/17/19 06:00:00 AM,30.154,96.9,,,,
119,07/17/19 07:00:00 AM,30.255,6544.5,,,,
120,07/17/19 08:00:00 AM,30.760,23422.4,,,,
121,07/17/19 09:00:00 AM,31.268,66133.8,,,,
122,07/17/19 10:00:00 AM,31.676,12400.1,,,,
123,07/17/19 11:00:00 AM,31.983,18600.1,,,,
124,07/17/19 12:00:00 PM,32.291,55111.5,,,,
125,07/17/19 01:00:00 PM,32.394,66133.8,,,,
126,07/17/19 02:00:00 PM,32.807,68889.3,,,,
127,07/17/19 03:00:00 PM,32.086,26178.0,,,,
128,07/17/19 04:00:00 PM,31.574,42711.4,,,,
129,07/17/19 05:00:00 PM,31.268,11711.2,,,,
130,07/17/19 06:00:00 PM,31.064,6544.5,,,,
131,07/17/19 07:00:00 PM,30.659,21.5,,,,
132,07/17/19 08:00:00 PM,30.457,0.0,,,,
133,07/17/19 09:00:00 PM,30.457,0.0,,,,
134,07/17/19 10:00:00 PM,30.457,0.0,,,,
135,07/17/19 11:00:00 PM,30.457,0.0,,,,
136,07/18/19 12:00:00 AM,30.356,0.0,,,,
137,07/18/19 01:00:00 AM,30.255,0.0,,,,
138,07/18/19 02:00:00 AM,30.154,0.0,,,,
139,07/18/19 03:00:00 AM,30.054,0.0,,,,
140,07/18/19 04:00:00 AM,30.154,0.0,,,,
141,07/18/19 05:00:00 AM,30.054,0.0,,,,
142,07/18/19 06:00:00 AM,30.154,129.2,,,,
143,07/18/19 07:00:00 AM,30.255,3272.2,,,,
144,07/18/19 08:00:00 AM,30.659,18600.1,,,,
145,07/18/19 09:00:00 AM,30.963,19977.9,,,,
146,07/18/19 10:00:00 AM,31.268,11711.2,,,,
147,07/18/19 11:00:00 AM,31.880,187379.0,,,,
148,07/18/19 12:00:00 PM,32.188,66133.8,,,,
149,07/18/19 01:00:00 PM,30.963,15155.7,,,,
150,07/18/19 02:00:00 PM,31.166,20666.8,,,,
151,07/18/19 03:00:00 PM,30.963,22044.6,,,,
152,07/18/19 04:00:00 PM,31.064,18600.1,,,,
153,07/18/19 05:00:00 PM,30.558,9300.1,,,,
154,07/18/19 06:00:00 PM,30.356,4477.8,,,,
155,07/18/19 07:00:00 PM,30.255,21.5,,,,
156,07/18/19 08:00:00 PM,30.154,0.0,,,,
157,07/18/19 09:00:00 PM,30.154,0.0,,,,
158,07/18/19 10:00:00 PM,29.953,0.0,,,,
159,07/18/19 11:00:00 PM,29.953,0.0,,,,
160,07/19/19 12:00:00 AM,30.054,0.0,,,,
161,07/19/19 01:00:00 AM,30.054,0.0,,,,
162,07/19/19 02:00:00 AM,30.054,0.0,,,,
163,07/19/19 03:00:00 AM,30.054,0.0,,,,
164,07/19/19 04:00:00 AM,29.953,0.0,,,,
165,07/19/19 05:00:00 AM,29.953,0.0,,,,
166,07/19/19 06:00:00 AM,29.953,64.6,,,,
167,07/19/19 07:00:00 AM,30.054,3616.7,,,,
168,07/19/19 08:00:00 AM,30.558,30311.3,,,,
169,07/19/19 09:00:00 AM,30.760,28933.5,,,,
170,07/19/19 10:00:00 AM,31.268,24800.2,,,,
171,07/19/19 11:00:00 AM,30.760,18600.1,,,,
172,07/19/19 12:00:00 PM,31.574,28933.5,,,,
173,07/19/19 01:00:00 PM,30.558,18600.1,,,,
174,07/19/19 02:00:00 PM,30.558,13777.9,,,,
175,07/19/19 03:00:00 PM,30.558,16533.4,,,,
176,07/19/19 04:00:00 PM,30.457,10333.4,,,,
177,07/19/19 05:00:00 PM,30.457,8266.7,,,,
178,07/19/19 06:00:00 PM,30.054,1980.6,,,,
179,07/19/19 07:00:00 PM,29.853,10.8,,,,
180,07/19/19 08:00:00 PM,29.953,0.0,,,,
181,07/19/19 09:00:00 PM,29.953,0.0,,,,
182,07/19/19 10:00:00 PM,29.953,0.0,,,,
183,07/19/19 11:00:00 PM,29.953,0.0,,,,
184,07/20/19 12:00:00 AM,29.953,0.0,,,,
185,07/20/19 01:00:00 AM,29.953,0.0,,,,
186,07/20/19 02:00:00 AM,29.953,0.0,,,,
187,07/20/19 03:00:00 AM,29.953,0.0,,,,
188,07/20/19 04:00:00 AM,29.953,0.0,,,,
189,07/20/19 05:00:00 AM,29.953,0.0,,,,
190,07/20/19 06:00:00 AM,29.953,43.1,,,,
191,07/20/19 07:00:00 AM,29.953,1894.5,,,,
192,07/20/19 08:00:00 AM,30.054,4477.8,,,,
193,07/20/19 09:00:00 AM,30.154,6200.0,,,,
194,07/20/19 10:00:00 AM,30.558,18600.1,,,,
195,07/20/19 11:00:00 AM,31.472,44089.2,,,,
196,07/20/19 12:00:00 PM,31.268,33066.9,,,,
197,07/20/19 01:00:00 PM,30.963,22044.6,,,,
198,07/20/19 02:00:00 PM,30.154,3788.9,,,,
199,07/20/19 03:00:00 PM,30.356,10333.4,,,,
200,07/20/19 04:00:00 PM,30.760,18600.1,,,,
201,07/20/19 05:00:00 PM,30.255,4477.8,,,,
202,07/20/19 06:00:00 PM,30.154,1636.1,,,,
203,07/20/19 07:00:00 PM,30.054,10.8,,,,
204,07/20/19 08:00:00 PM,30.054,0.0,,,,
205,07/20/19 09:00:00 PM,29.953,0.0,,,,
