"Plot Title: 10932527_brick8"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Abs pressure brick8)","Temp, °C (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Temp brick8)","Coupler Detached (LGR S/N: 10932527)","Coupler Attached (LGR S/N: 10932527)","Stopped (LGR S/N: 10932527)","End Of File (LGR S/N: 10932527)"
1,12/07/16 01:30:00 PM,100.910,23.773,Logged,,,
2,12/07/16 01:40:00 PM,100.903,23.869,,,,
3,12/07/16 01:50:00 PM,100.901,23.484,,,,
4,12/07/16 02:00:00 PM,100.899,23.100,,,,
5,12/07/16 02:10:00 PM,100.890,22.812,,,,
6,12/07/16 02:20:00 PM,100.865,22.621,,,,
7,12/07/16 02:30:00 PM,100.849,22.429,,,,
8,12/07/16 02:40:00 PM,100.856,22.333,,,,
9,12/07/16 02:50:00 PM,100.836,22.333,,,,
10,12/07/16 03:00:00 PM,100.823,22.238,,,,
11,12/07/16 03:10:00 PM,100.817,22.333,,,,
12,12/07/16 03:20:00 PM,100.794,22.238,,,,
13,12/07/16 03:30:00 PM,100.801,22.142,,,,
14,12/07/16 03:40:00 PM,100.808,22.046,,,,
15,12/07/16 03:50:00 PM,100.834,21.951,,,,
16,12/07/16 04:00:00 PM,100.844,21.951,,,,
17,12/07/16 04:10:00 PM,100.844,21.951,,,,
18,12/07/16 04:20:00 PM,100.854,21.951,,,,
19,12/07/16 04:30:00 PM,100.873,21.951,,,,
20,12/07/16 04:40:00 PM,100.854,21.951,,,,
21,12/07/16 04:50:00 PM,100.873,21.951,,,,
22,12/07/16 05:00:00 PM,100.880,21.855,,,,
23,12/07/16 05:10:00 PM,100.890,21.855,,,,
24,12/07/16 05:20:00 PM,100.910,21.855,,,,
25,12/07/16 05:30:00 PM,100.936,21.760,,,,
26,12/07/16 05:40:00 PM,100.936,21.760,,,,
27,12/07/16 05:50:00 PM,100.926,21.760,,,,
28,12/07/16 06:00:00 PM,100.946,21.760,,,,
29,12/07/16 06:10:00 PM,100.946,21.760,,,,
30,12/07/16 06:20:00 PM,100.968,21.855,,,,
31,12/07/16 06:30:00 PM,100.981,21.951,,,,
32,12/07/16 06:40:00 PM,100.991,21.951,,,,
33,12/07/16 06:50:00 PM,100.981,21.951,,,,
34,12/07/16 07:00:00 PM,101.011,21.951,,,,
35,12/07/16 07:10:00 PM,101.013,22.046,,,,
