"Plot Title: 20415922"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20415922, SEN S/N: 20415922)","Intensity, Lux (LGR S/N: 20415922, SEN S/N: 20415922)","Coupler Attached (LGR S/N: 20415922)","Coupler Detached (LGR S/N: 20415922)","Host Connected (LGR S/N: 20415922)","Stopped (LGR S/N: 20415922)","End Of File (LGR S/N: 20415922)"
99,07/16/19 11:00:00 AM,30.356,16533.4,,,,,
100,07/16/19 12:00:00 PM,31.064,24800.2,,,,,
101,07/16/19 01:00:00 PM,31.983,79911.6,,,,,
102,07/16/19 02:00:00 PM,32.704,35822.5,,,,,
103,07/16/19 03:00:00 PM,31.880,14466.8,,,,,
104,07/16/19 04:00:00 PM,31.268,11711.2,,,,,
105,07/16/19 05:00:00 PM,30.457,8266.7,,,,,
106,07/16/19 06:00:00 PM,30.154,3272.2,,,,,
107,07/16/19 07:00:00 PM,30.154,10.8,,,,,
108,07/16/19 08:00:00 PM,30.154,0.0,,,,,
109,07/16/19 09:00:00 PM,30.154,0.0,,,,,
110,07/16/19 10:00:00 PM,30.154,0.0,,,,,
111,07/16/19 11:00:00 PM,30.054,0.0,,,,,
112,07/17/19 12:00:00 AM,30.054,0.0,,,,,
113,07/17/19 01:00:00 AM,30.054,0.0,,,,,
114,07/17/19 02:00:00 AM,30.054,0.0,,,,,
115,07/17/19 03:00:00 AM,30.054,0.0,,,,,
116,07/17/19 04:00:00 AM,29.953,0.0,,,,,
117,07/17/19 05:00:00 AM,30.054,0.0,,,,,
118,07/17/19 06:00:00 AM,30.054,107.6,,,,,
119,07/17/19 07:00:00 AM,30.255,7577.8,,,,,
120,07/17/19 08:00:00 AM,30.558,15155.7,,,,,
121,07/17/19 09:00:00 AM,31.064,15844.5,,,,,
122,07/17/19 10:00:00 AM,31.574,34444.7,,,,,
123,07/17/19 11:00:00 AM,32.086,121245.2,,,,,
124,07/17/19 12:00:00 PM,32.497,42711.4,,,,,
125,07/17/19 01:00:00 PM,32.807,31689.1,,,,,
126,07/17/19 02:00:00 PM,33.118,110223.0,,,,,
127,07/17/19 03:00:00 PM,32.807,18600.1,,,,,
128,07/17/19 04:00:00 PM,32.394,17222.3,,,,,
129,07/17/19 05:00:00 PM,31.574,8611.2,,,,,
130,07/17/19 06:00:00 PM,31.064,5166.7,,,,,
131,07/17/19 07:00:00 PM,30.659,21.5,,,,,
132,07/17/19 08:00:00 PM,30.558,0.0,,,,,
133,07/17/19 09:00:00 PM,30.457,0.0,,,,,
134,07/17/19 10:00:00 PM,30.457,0.0,,,,,
135,07/17/19 11:00:00 PM,30.356,0.0,,,,,
136,07/18/19 12:00:00 AM,30.255,0.0,,,,,
137,07/18/19 01:00:00 AM,30.255,0.0,,,,,
138,07/18/19 02:00:00 AM,30.154,0.0,,,,,
139,07/18/19 03:00:00 AM,29.953,0.0,,,,,
140,07/18/19 04:00:00 AM,30.054,0.0,,,,,
141,07/18/19 05:00:00 AM,29.953,0.0,,,,,
142,07/18/19 06:00:00 AM,30.054,118.4,,,,,
143,07/18/19 07:00:00 AM,30.255,6200.0,,,,,
144,07/18/19 08:00:00 AM,30.457,11022.3,,,,,
145,07/18/19 09:00:00 AM,30.760,12400.1,,,,,
146,07/18/19 10:00:00 AM,31.166,44089.2,,,,,
147,07/18/19 11:00:00 AM,31.778,38578.0,,,,,
148,07/18/19 12:00:00 PM,31.983,34444.7,,,,,
149,07/18/19 01:00:00 PM,31.166,11022.3,,,,,
150,07/18/19 02:00:00 PM,31.370,18600.1,,,,,
151,07/18/19 03:00:00 PM,31.268,19977.9,,,,,
152,07/18/19 04:00:00 PM,31.472,18600.1,,,,,
153,07/18/19 05:00:00 PM,30.963,8611.2,,,,,
154,07/18/19 06:00:00 PM,30.356,4305.6,,,,,
155,07/18/19 07:00:00 PM,30.154,21.5,,,,,
156,07/18/19 08:00:00 PM,30.154,0.0,,,,,
157,07/18/19 09:00:00 PM,30.054,0.0,,,,,
158,07/18/19 10:00:00 PM,30.154,0.0,,,,,
159,07/18/19 11:00:00 PM,29.953,0.0,,,,,
160,07/19/19 12:00:00 AM,29.953,0.0,,,,,
161,07/19/19 01:00:00 AM,30.054,0.0,,,,,
162,07/19/19 02:00:00 AM,29.953,0.0,,,,,
163,07/19/19 03:00:00 AM,30.054,0.0,,,,,
164,07/19/19 04:00:00 AM,29.953,0.0,,,,,
165,07/19/19 05:00:00 AM,29.953,0.0,,,,,
166,07/19/19 06:00:00 AM,29.853,64.6,,,,,
167,07/19/19 07:00:00 AM,29.953,3272.2,,,,,
168,07/19/19 08:00:00 AM,30.356,13089.0,,,,,
169,07/19/19 09:00:00 AM,30.659,28933.5,,,,,
170,07/19/19 10:00:00 AM,31.166,52355.9,,,,,
171,07/19/19 11:00:00 AM,30.963,20666.8,,,,,
172,07/19/19 12:00:00 PM,31.472,41333.6,,,,,
173,07/19/19 01:00:00 PM,30.760,16533.4,,,,,
174,07/19/19 02:00:00 PM,30.760,14466.8,,,,,
175,07/19/19 03:00:00 PM,30.659,13777.9,,,,,
176,07/19/19 04:00:00 PM,30.558,10333.4,,,,,
177,07/19/19 05:00:00 PM,30.457,7233.4,,,,,
178,07/19/19 06:00:00 PM,30.154,1722.2,,,,,
179,07/19/19 07:00:00 PM,29.953,10.8,,,,,
180,07/19/19 08:00:00 PM,29.953,0.0,,,,,
181,07/19/19 09:00:00 PM,29.953,0.0,,,,,
182,07/19/19 10:00:00 PM,29.953,0.0,,,,,
183,07/19/19 11:00:00 PM,29.953,0.0,,,,,
184,07/20/19 12:00:00 AM,29.953,0.0,,,,,
185,07/20/19 01:00:00 AM,29.853,0.0,,,,,
186,07/20/19 02:00:00 AM,29.853,0.0,,,,,
187,07/20/19 03:00:00 AM,29.953,0.0,,,,,
188,07/20/19 04:00:00 AM,29.953,0.0,,,,,
189,07/20/19 05:00:00 AM,29.953,0.0,,,,,
190,07/20/19 06:00:00 AM,29.953,53.8,,,,,
191,07/20/19 07:00:00 AM,29.953,1808.3,,,,,
192,07/20/19 08:00:00 AM,29.953,4650.0,,,,,
193,07/20/19 09:00:00 AM,30.054,7577.8,,,,,
194,07/20/19 10:00:00 AM,30.457,18600.1,,,,,
195,07/20/19 11:00:00 AM,31.268,38578.0,,,,,
196,07/20/19 12:00:00 PM,31.064,28933.5,,,,,
197,07/20/19 01:00:00 PM,30.862,22044.6,,,,,
198,07/20/19 02:00:00 PM,30.154,3788.9,,,,,
199,07/20/19 03:00:00 PM,30.356,9644.5,,,,,
200,07/20/19 04:00:00 PM,30.659,15155.7,,,,,
201,07/20/19 05:00:00 PM,30.356,3444.5,,,,,
202,07/20/19 06:00:00 PM,30.054,1722.2,,,,,
203,07/20/19 07:00:00 PM,30.054,10.8,,,,,
204,07/20/19 08:00:00 PM,30.154,0.0,,,,,
205,07/20/19 09:00:00 PM,29.953,0.0,,,,,
206,07/20/19 10:00:00 PM,29.953,0.0,,,,,
207,07/20/19 11:00:00 PM,29.853,0.0,,,,,
208,07/21/19 12:00:00 AM,29.853,0.0,,,,,
209,07/21/19 01:00:00 AM,29.853,0.0,,,,,
210,07/21/19 02:00:00 AM,29.853,0.0,,,,,
211,07/21/19 03:00:00 AM,29.853,0.0,,,,,
212,07/21/19 04:00:00 AM,29.953,0.0,,,,,
213,07/21/19 05:00:00 AM,29.953,0.0,,,,,
214,07/21/19 06:00:00 AM,29.953,107.6,,,,,
215,07/21/19 07:00:00 AM,30.154,6200.0,,,,,
216,07/21/19 08:00:00 AM,30.356,6544.5,,,,,
217,07/21/19 09:00:00 AM,30.760,26178.0,,,,,
218,07/21/19 10:00:00 AM,31.064,39955.8,,,,,
219,07/21/19 11:00:00 AM,30.862,26178.0,,,,,
220,07/21/19 12:00:00 PM,30.862,49600.3,,,,,
221,07/21/19 01:00:00 PM,31.064,15844.5,,,,,
222,07/21/19 02:00:00 PM,31.166,30311.3,,,,,
223,07/21/19 03:00:00 PM,31.574,93689.5,,,,,
224,07/21/19 04:00:00 PM,31.064,11711.2,,,,,
225,07/21/19 05:00:00 PM,30.862,10333.4,,,,,
226,07/21/19 06:00:00 PM,30.558,2325.0,,,,,
227,07/21/19 07:00:00 PM,30.054,21.5,,,,,
228,07/21/19 08:00:00 PM,30.255,0.0,,,,,
229,07/21/19 09:00:00 PM,30.255,0.0,,,,,
230,07/21/19 10:00:00 PM,29.953,0.0,,,,,
231,07/21/19 11:00:00 PM,29.953,0.0,,,,,
232,07/22/19 12:00:00 AM,29.953,0.0,,,,,
233,07/22/19 01:00:00 AM,29.953,0.0,,,,,
234,07/22/19 02:00:00 AM,29.953,0.0,,,,,
235,07/22/19 03:00:00 AM,29.953,0.0,,,,,
236,07/22/19 04:00:00 AM,29.953,0.0,,,,,
237,07/22/19 05:00:00 AM,29.953,0.0,,,,,
238,07/22/19 06:00:00 AM,29.853,139.9,,,,,
239,07/22/19 07:00:00 AM,30.054,3272.2,,,,,
240,07/22/19 08:00:00 AM,30.356,7233.4,,,,,
241,07/22/19 09:00:00 AM,30.760,18600.1,,,,,
242,07/22/19 10:00:00 AM,31.166,28933.5,,,,,
243,07/22/19 11:00:00 AM,30.760,11711.2,,,,,
244,07/22/19 12:00:00 PM,30.963,24800.2,,,,,
245,07/22/19 01:00:00 PM,31.676,34444.7,,,,,
246,07/22/19 02:00:00 PM,31.676,39955.8,,,,,
247,07/22/19 03:00:00 PM,31.268,14466.8,,,,,
248,07/22/19 04:00:00 PM,31.166,24800.2,,,,,
249,07/22/19 05:00:00 PM,30.862,11022.3,,,,,
250,07/22/19 06:00:00 PM,30.457,3444.5,,,,,
251,07/22/19 07:00:00 PM,30.054,21.5,,,,,
252,07/22/19 08:00:00 PM,29.953,0.0,,,,,
253,07/22/19 09:00:00 PM,29.953,0.0,,,,,
254,07/22/19 10:00:00 PM,29.953,0.0,,,,,
255,07/22/19 11:00:00 PM,29.953,0.0,,,,,
256,07/23/19 12:00:00 AM,29.853,0.0,,,,,
257,07/23/19 01:00:00 AM,29.953,0.0,,,,,
258,07/23/19 02:00:00 AM,29.853,0.0,,,,,
259,07/23/19 03:00:00 AM,29.853,0.0,,,,,
260,07/23/19 04:00:00 AM,29.853,0.0,,,,,
261,07/23/19 05:00:00 AM,29.953,0.0,,,,,
262,07/23/19 06:00:00 AM,29.853,139.9,,,,,
263,07/23/19 07:00:00 AM,30.054,4305.6,,,,,
264,07/23/19 08:00:00 AM,30.356,8266.7,,,,,
265,07/23/19 09:00:00 AM,30.356,8611.2,,,,,
266,07/23/19 10:00:00 AM,30.862,99200.7,,,,,
267,07/23/19 11:00:00 AM,31.166,99200.7,,,,,
268,07/23/19 12:00:00 PM,30.862,14466.8,,,,,
269,07/23/19 01:00:00 PM,31.574,39955.8,,,,,
270,07/23/19 02:00:00 PM,31.370,27555.7,,,,,
271,07/23/19 03:00:00 PM,31.166,137778.7,,,,,
272,07/23/19 04:00:00 PM,31.064,34444.7,,,,,
273,07/23/19 05:00:00 PM,30.760,6200.0,,,,,
274,07/23/19 06:00:00 PM,30.255,2669.5,,,,,
275,07/23/19 07:00:00 PM,30.054,21.5,,,,,
276,07/23/19 08:00:00 PM,29.953,0.0,,,,,
277,07/23/19 09:00:00 PM,29.853,0.0,,,,,
278,07/23/19 10:00:00 PM,29.752,0.0,,,,,
