"Plot Title: Piti WL (10766780)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766780, SEN S/N: 10766780)","Temp, °C (LGR S/N: 10766780, SEN S/N: 10766780)"
124,12/05/17 06:30:00 AM,113.043,28.655
125,12/05/17 06:40:00 AM,113.034,28.754
126,12/05/17 06:50:00 AM,113.141,28.754
127,12/05/17 07:00:00 AM,113.711,28.754
128,12/05/17 07:10:00 AM,113.544,28.754
129,12/05/17 07:20:00 AM,113.996,28.754
130,12/05/17 07:30:00 AM,114.569,28.853
131,12/05/17 07:40:00 AM,114.711,28.853
132,12/05/17 07:50:00 AM,115.115,28.853
133,12/05/17 08:00:00 AM,114.735,28.853
134,12/05/17 08:10:00 AM,115.151,28.853
135,12/05/17 08:20:00 AM,115.828,28.853
136,12/05/17 08:30:00 AM,115.495,28.853
137,12/05/17 08:40:00 AM,115.353,28.853
138,12/05/17 08:50:00 AM,115.804,28.853
139,12/05/17 09:00:00 AM,115.837,28.754
140,12/05/17 09:10:00 AM,115.872,28.754
141,12/05/17 09:20:00 AM,115.733,28.853
142,12/05/17 09:30:00 AM,115.626,28.853
143,12/05/17 09:40:00 AM,115.234,28.853
144,12/05/17 09:50:00 AM,116.104,28.953
145,12/05/17 10:00:00 AM,116.235,28.953
146,12/05/17 10:10:00 AM,116.282,28.953
147,12/05/17 10:20:00 AM,116.404,29.053
148,12/05/17 10:30:00 AM,115.311,29.053
149,12/05/17 10:40:00 AM,115.810,29.053
150,12/05/17 10:50:00 AM,114.931,29.053
151,12/05/17 11:00:00 AM,115.326,29.152
152,12/05/17 11:10:00 AM,114.554,29.152
153,12/05/17 11:20:00 AM,114.578,29.152
154,12/05/17 11:30:00 AM,115.329,29.252
155,12/05/17 11:40:00 AM,114.453,29.352
156,12/05/17 11:50:00 AM,113.740,29.352
157,12/05/17 12:00:00 PM,114.195,29.452
158,12/05/17 12:10:00 PM,113.556,29.552
159,12/05/17 12:20:00 PM,113.936,29.552
160,12/05/17 12:30:00 PM,114.043,29.552
161,12/05/17 12:40:00 PM,112.938,29.552
162,12/05/17 12:50:00 PM,113.036,29.652
163,12/05/17 01:00:00 PM,113.188,29.552
164,12/05/17 01:10:00 PM,113.007,29.452
165,12/05/17 01:20:00 PM,112.983,29.452
166,12/05/17 01:30:00 PM,112.472,29.452
167,12/05/17 01:40:00 PM,112.448,29.452
168,12/05/17 01:50:00 PM,112.460,29.452
169,12/05/17 02:00:00 PM,111.997,29.452
170,12/05/17 02:10:00 PM,112.436,29.452
171,12/05/17 02:20:00 PM,112.270,29.452
172,12/05/17 02:30:00 PM,112.234,29.452
173,12/05/17 02:40:00 PM,112.009,29.452
174,12/05/17 02:50:00 PM,112.398,29.352
175,12/05/17 03:00:00 PM,112.873,29.352
176,12/05/17 03:10:00 PM,112.410,29.352
177,12/05/17 03:20:00 PM,112.600,29.352
178,12/05/17 03:30:00 PM,112.811,29.252
179,12/05/17 03:40:00 PM,112.552,29.352
180,12/05/17 03:50:00 PM,112.695,29.352
181,12/05/17 04:00:00 PM,112.921,29.352
182,12/05/17 04:10:00 PM,113.336,29.352
183,12/05/17 04:20:00 PM,113.238,29.252
184,12/05/17 04:30:00 PM,113.334,29.252
185,12/05/17 04:40:00 PM,113.892,29.252
186,12/05/17 04:50:00 PM,113.770,29.152
187,12/05/17 05:00:00 PM,114.317,29.152
188,12/05/17 05:10:00 PM,114.174,29.152
189,12/05/17 05:20:00 PM,114.150,29.152
190,12/05/17 05:30:00 PM,115.136,29.152
191,12/05/17 05:40:00 PM,114.694,29.053
192,12/05/17 05:50:00 PM,114.979,29.053
193,12/05/17 06:00:00 PM,115.086,29.053
194,12/05/17 06:10:00 PM,114.717,29.053
195,12/05/17 06:20:00 PM,116.273,29.053
196,12/05/17 06:30:00 PM,115.513,29.053
197,12/05/17 06:40:00 PM,115.252,29.053
198,12/05/17 06:50:00 PM,116.546,29.053
199,12/05/17 07:00:00 PM,115.454,29.053
200,12/05/17 07:10:00 PM,115.819,28.953
201,12/05/17 07:20:00 PM,115.344,28.953
202,12/05/17 07:30:00 PM,116.071,29.053
203,12/05/17 07:40:00 PM,116.333,29.053
204,12/05/17 07:50:00 PM,115.997,28.953
205,12/05/17 08:00:00 PM,116.104,28.953
206,12/05/17 08:10:00 PM,115.463,28.953
207,12/05/17 08:20:00 PM,116.045,28.953
208,12/05/17 08:30:00 PM,116.104,28.953
209,12/05/17 08:40:00 PM,115.570,28.953
210,12/05/17 08:50:00 PM,115.475,28.953
211,12/05/17 09:00:00 PM,114.845,28.953
212,12/05/17 09:10:00 PM,114.738,28.953
213,12/05/17 09:20:00 PM,115.071,28.953
214,12/05/17 09:30:00 PM,114.631,28.953
215,12/05/17 09:40:00 PM,114.679,28.953
216,12/05/17 09:50:00 PM,114.097,28.953
217,12/05/17 10:00:00 PM,114.275,28.953
218,12/05/17 10:10:00 PM,113.904,28.853
219,12/05/17 10:20:00 PM,113.357,28.853
220,12/05/17 10:30:00 PM,112.847,28.853
221,12/05/17 10:40:00 PM,112.752,28.853
222,12/05/17 10:50:00 PM,111.908,28.853
223,12/05/17 11:00:00 PM,111.694,28.853
224,12/05/17 11:10:00 PM,111.457,28.853
225,12/05/17 11:20:00 PM,110.946,28.853
226,12/05/17 11:30:00 PM,110.860,28.754
227,12/05/17 11:40:00 PM,110.293,28.853
228,12/05/17 11:50:00 PM,110.005,28.754
229,12/06/17 12:00:00 AM,109.411,28.754
230,12/06/17 12:10:00 AM,109.099,28.655
231,12/06/17 12:20:00 AM,108.743,28.655
232,12/06/17 12:30:00 AM,108.422,28.655
233,12/06/17 12:40:00 AM,108.291,28.655
234,12/06/17 12:50:00 AM,107.792,28.655
235,12/06/17 01:00:00 AM,107.504,28.555
236,12/06/17 01:10:00 AM,107.267,28.555
237,12/06/17 01:20:00 AM,106.946,28.555
238,12/06/17 01:30:00 AM,106.506,28.555
239,12/06/17 01:40:00 AM,106.326,28.456
240,12/06/17 01:50:00 AM,106.302,28.456
241,12/06/17 02:00:00 AM,106.183,28.456
242,12/06/17 02:10:00 AM,106.159,28.456
243,12/06/17 02:20:00 AM,106.026,28.357
244,12/06/17 02:30:00 AM,105.943,28.357
245,12/06/17 02:40:00 AM,106.109,28.357
246,12/06/17 02:50:00 AM,106.061,28.357
247,12/06/17 03:00:00 AM,105.940,28.258
248,12/06/17 03:10:00 AM,106.118,28.258
249,12/06/17 03:20:00 AM,106.035,28.258
250,12/06/17 03:30:00 AM,105.952,28.258
251,12/06/17 03:40:00 AM,106.115,28.159
252,12/06/17 03:50:00 AM,106.104,28.159
253,12/06/17 04:00:00 AM,106.294,28.159
254,12/06/17 04:10:00 AM,106.460,28.159
255,12/06/17 04:20:00 AM,106.923,28.159
256,12/06/17 04:30:00 AM,107.277,28.060
257,12/06/17 04:40:00 AM,107.253,28.060
258,12/06/17 04:50:00 AM,107.526,28.060
259,12/06/17 05:00:00 AM,107.904,27.961
260,12/06/17 05:10:00 AM,108.055,27.862
261,12/06/17 05:20:00 AM,108.729,27.764
262,12/06/17 05:30:00 AM,108.715,27.665
263,12/06/17 05:40:00 AM,109.302,27.862
264,12/06/17 05:50:00 AM,109.477,28.159
265,12/06/17 06:00:00 AM,109.984,28.456
266,12/06/17 06:10:00 AM,110.534,28.555
267,12/06/17 06:20:00 AM,110.831,28.555
268,12/06/17 06:30:00 AM,110.952,28.655
269,12/06/17 06:40:00 AM,111.142,28.655
270,12/06/17 06:50:00 AM,111.724,28.655
271,12/06/17 07:00:00 AM,111.938,28.655
272,12/06/17 07:10:00 AM,112.116,28.655
273,12/06/17 07:20:00 AM,113.161,28.655
274,12/06/17 07:30:00 AM,113.022,28.754
275,12/06/17 07:40:00 AM,113.524,28.853
276,12/06/17 07:50:00 AM,113.583,28.853
277,12/06/17 08:00:00 AM,113.856,28.853
278,12/06/17 08:10:00 AM,114.189,28.853
279,12/06/17 08:20:00 AM,114.331,28.853
280,12/06/17 08:30:00 AM,114.700,28.853
281,12/06/17 08:40:00 AM,114.711,28.853
282,12/06/17 08:50:00 AM,115.068,28.853
283,12/06/17 09:00:00 AM,115.715,29.053
284,12/06/17 09:10:00 AM,115.252,29.053
285,12/06/17 09:20:00 AM,115.742,29.152
286,12/06/17 09:30:00 AM,116.063,29.152
287,12/06/17 09:40:00 AM,116.645,29.152
288,12/06/17 09:50:00 AM,115.386,29.152
289,12/06/17 10:00:00 AM,115.896,29.152
290,12/06/17 10:10:00 AM,115.923,29.252
291,12/06/17 10:20:00 AM,115.519,29.252
292,12/06/17 10:30:00 AM,115.202,29.352
293,12/06/17 10:40:00 AM,115.380,29.352
294,12/06/17 10:50:00 AM,115.644,29.452
295,12/06/17 11:00:00 AM,115.264,29.452
296,12/06/17 11:10:00 AM,115.894,29.452
297,12/06/17 11:20:00 AM,116.297,29.452
298,12/06/17 11:30:00 AM,115.882,29.452
299,12/06/17 11:40:00 AM,115.421,29.552
300,12/06/17 11:50:00 AM,114.908,29.452
301,12/06/17 12:00:00 PM,114.815,29.552
302,12/06/17 12:10:00 PM,115.112,29.552
303,12/06/17 12:20:00 PM,114.946,29.552
304,12/06/17 12:30:00 PM,115.279,29.552
305,12/06/17 12:40:00 PM,114.780,29.552
306,12/06/17 12:50:00 PM,114.141,29.652
307,12/06/17 01:00:00 PM,114.094,29.652
308,12/06/17 01:10:00 PM,113.847,29.752
309,12/06/17 01:20:00 PM,113.693,29.752
310,12/06/17 01:30:00 PM,113.387,29.853
311,12/06/17 01:40:00 PM,113.152,29.953
312,12/06/17 01:50:00 PM,113.853,29.953
313,12/06/17 02:00:00 PM,113.393,30.054
314,12/06/17 02:10:00 PM,113.131,30.054
315,12/06/17 02:20:00 PM,112.605,29.953
316,12/06/17 02:30:00 PM,113.401,29.953
317,12/06/17 02:40:00 PM,112.727,30.054
318,12/06/17 02:50:00 PM,112.712,29.953
319,12/06/17 03:00:00 PM,112.454,30.054
320,12/06/17 03:10:00 PM,112.736,29.953
321,12/06/17 03:20:00 PM,112.567,29.853
322,12/06/17 03:30:00 PM,112.469,29.752
323,12/06/17 03:40:00 PM,112.564,29.752
