Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
126,12/5/2017 6:50,28.655,914.9,,,,
127,12/5/2017 7:00,28.754,1722.2,,,,
128,12/5/2017 7:10,28.754,1980.6,,,,
129,12/5/2017 7:20,28.853,3616.7,,,,
130,12/5/2017 7:30,28.853,5511.1,,,,
131,12/5/2017 7:40,28.853,2927.8,,,,
132,12/5/2017 7:50,28.853,1722.2,,,,
133,12/5/2017 8:00,28.853,1377.8,,,,
134,12/5/2017 8:10,28.853,2325,,,,
135,12/5/2017 8:20,28.853,2325,,,,
136,12/5/2017 8:30,29.053,12400.1,,,,
137,12/5/2017 8:40,29.152,11022.3,,,,
138,12/5/2017 8:50,29.252,11022.3,,,,
139,12/5/2017 9:00,29.152,17911.2,,,,
140,12/5/2017 9:10,29.352,17222.3,,,,
141,12/5/2017 9:20,29.452,12400.1,,,,
142,12/5/2017 9:30,29.252,13089,,,,
143,12/5/2017 9:40,29.252,12400.1,,,,
144,12/5/2017 9:50,29.452,26178,,,,
145,12/5/2017 10:00,29.552,37200.2,,,,
146,12/5/2017 10:10,29.752,41333.6,,,,
147,12/5/2017 10:20,29.752,24800.2,,,,
148,12/5/2017 10:30,29.652,11022.3,,,,
149,12/5/2017 10:40,29.552,13777.9,,,,
150,12/5/2017 10:50,29.853,33066.9,,,,
151,12/5/2017 11:00,29.853,27555.7,,,,
152,12/5/2017 11:10,29.953,16533.4,,,,
153,12/5/2017 11:20,29.752,12400.1,,,,
154,12/5/2017 11:30,29.752,26178,,,,
155,12/5/2017 11:40,29.452,6200,,,,
156,12/5/2017 11:50,29.853,24800.2,,,,
157,12/5/2017 12:00,29.752,22044.6,,,,
158,12/5/2017 12:10,29.853,20666.8,,,,
159,12/5/2017 12:20,30.154,38578,,,,
160,12/5/2017 12:30,29.953,18600.1,,,,
161,12/5/2017 12:40,29.552,5338.9,,,,
162,12/5/2017 12:50,29.552,8611.2,,,,
163,12/5/2017 13:00,29.652,13777.9,,,,
164,12/5/2017 13:10,29.752,14466.8,,,,
165,12/5/2017 13:20,29.853,16533.4,,,,
166,12/5/2017 13:30,29.953,17222.3,,,,
167,12/5/2017 13:40,29.953,18600.1,,,,
168,12/5/2017 13:50,29.953,20666.8,,,,
169,12/5/2017 14:00,29.853,20666.8,,,,
170,12/5/2017 14:10,29.953,17222.3,,,,
171,12/5/2017 14:20,29.853,10677.8,,,,
172,12/5/2017 14:30,29.752,9300.1,,,,
173,12/5/2017 14:40,29.853,11022.3,,,,
174,12/5/2017 14:50,29.953,12400.1,,,,
175,12/5/2017 15:00,29.953,11022.3,,,,
176,12/5/2017 15:10,29.853,10677.8,,,,
177,12/5/2017 15:20,29.953,10677.8,,,,
178,12/5/2017 15:30,29.953,9644.5,,,,
179,12/5/2017 15:40,29.953,8611.2,,,,
180,12/5/2017 15:50,29.953,7577.8,,,,
181,12/5/2017 16:00,29.853,6544.5,,,,
182,12/5/2017 16:10,29.853,6200,,,,
183,12/5/2017 16:20,29.853,5166.7,,,,
184,12/5/2017 16:30,29.752,3444.5,,,,
185,12/5/2017 16:40,29.752,3961.1,,,,
186,12/5/2017 16:50,29.752,2755.6,,,,
187,12/5/2017 17:00,29.752,2152.8,,,,
188,12/5/2017 17:10,29.752,1463.9,,,,
189,12/5/2017 17:20,29.652,1022.6,,,,
190,12/5/2017 17:30,29.652,624.3,,,,
191,12/5/2017 17:40,29.652,290.6,,,,
192,12/5/2017 17:50,29.652,86.1,,,,
193,12/5/2017 18:00,29.652,10.8,,,,
194,12/5/2017 18:10,29.652,0,,,,
195,12/5/2017 18:20,29.652,0,,,,
196,12/5/2017 18:30,29.652,0,,,,
197,12/5/2017 18:40,29.652,0,,,,
198,12/5/2017 18:50,29.652,0,,,,
199,12/5/2017 19:00,29.652,0,,,,
200,12/5/2017 19:10,29.652,0,,,,
201,12/5/2017 19:20,29.652,0,,,,
202,12/5/2017 19:30,29.652,0,,,,
203,12/5/2017 19:40,29.652,0,,,,
204,12/5/2017 19:50,29.552,0,,,,
205,12/5/2017 20:00,29.552,0,,,,
206,12/5/2017 20:10,29.552,0,,,,
207,12/5/2017 20:20,29.452,0,,,,
208,12/5/2017 20:30,29.452,0,,,,
209,12/5/2017 20:40,29.452,0,,,,
210,12/5/2017 20:50,29.452,0,,,,
211,12/5/2017 21:00,29.352,0,,,,
212,12/5/2017 21:10,29.352,0,,,,
213,12/5/2017 21:20,29.352,0,,,,
214,12/5/2017 21:30,29.352,0,,,,
215,12/5/2017 21:40,29.452,0,,,,
216,12/5/2017 21:50,29.452,0,,,,
217,12/5/2017 22:00,29.352,0,,,,
218,12/5/2017 22:10,29.352,0,,,,
219,12/5/2017 22:20,29.352,0,,,,
220,12/5/2017 22:30,29.352,0,,,,
221,12/5/2017 22:40,29.252,0,,,,
222,12/5/2017 22:50,29.252,0,,,,
223,12/5/2017 23:00,29.252,0,,,,
224,12/5/2017 23:10,29.252,0,,,,
225,12/5/2017 23:20,29.252,0,,,,
226,12/5/2017 23:30,29.252,0,,,,
227,12/5/2017 23:40,29.252,0,,,,
228,12/5/2017 23:50,29.252,0,,,,
229,12/6/2017 0:00,29.252,0,,,,
230,12/6/2017 0:10,29.352,0,,,,
231,12/6/2017 0:20,29.252,0,,,,
232,12/6/2017 0:30,29.252,0,,,,
233,12/6/2017 0:40,29.252,0,,,,
234,12/6/2017 0:50,29.252,0,,,,
235,12/6/2017 1:00,29.252,0,,,,
236,12/6/2017 1:10,29.252,0,,,,
237,12/6/2017 1:20,29.152,0,,,,
238,12/6/2017 1:30,29.152,0,,,,
239,12/6/2017 1:40,29.053,0,,,,
240,12/6/2017 1:50,29.053,0,,,,
241,12/6/2017 2:00,29.053,0,,,,
242,12/6/2017 2:10,29.053,0,,,,
243,12/6/2017 2:20,28.953,0,,,,
244,12/6/2017 2:30,28.953,0,,,,
245,12/6/2017 2:40,28.953,0,,,,
246,12/6/2017 2:50,28.853,0,,,,
247,12/6/2017 3:00,28.853,0,,,,
248,12/6/2017 3:10,28.853,0,,,,
249,12/6/2017 3:20,28.853,0,,,,
250,12/6/2017 3:30,28.853,0,,,,
251,12/6/2017 3:40,28.853,0,,,,
252,12/6/2017 3:50,28.754,0,,,,
253,12/6/2017 4:00,28.754,0,,,,
254,12/6/2017 4:10,28.754,0,,,,
255,12/6/2017 4:20,28.754,0,,,,
256,12/6/2017 4:30,28.754,0,,,,
257,12/6/2017 4:40,28.754,0,,,,
258,12/6/2017 4:50,28.754,0,,,,
259,12/6/2017 5:00,28.655,0,,,,
260,12/6/2017 5:10,28.655,0,,,,
261,12/6/2017 5:20,28.655,0,,,,
262,12/6/2017 5:30,28.655,0,,,,
263,12/6/2017 5:40,28.655,0,,,,
264,12/6/2017 5:50,28.655,0,,,,
265,12/6/2017 6:00,28.655,0,,,,
266,12/6/2017 6:10,28.655,0,,,,
267,12/6/2017 6:20,28.655,10.8,,,,
268,12/6/2017 6:30,28.655,118.4,,,,
269,12/6/2017 6:40,28.655,441.3,,,,
270,12/6/2017 6:50,28.655,785.8,,,,
271,12/6/2017 7:00,28.754,1076.4,,,,
272,12/6/2017 7:10,28.754,2583.4,,,,
273,12/6/2017 7:20,28.754,2411.1,,,,
274,12/6/2017 7:30,28.853,3100,,,,
275,12/6/2017 7:40,28.853,2927.8,,,,
276,12/6/2017 7:50,28.953,2755.6,,,,
277,12/6/2017 8:00,28.953,3272.2,,,,
278,12/6/2017 8:10,29.152,7577.8,,,,
279,12/6/2017 8:20,29.252,5166.7,,,,
280,12/6/2017 8:30,29.252,4133.4,,,,
281,12/6/2017 8:40,29.352,5511.1,,,,
282,12/6/2017 8:50,29.352,7577.8,,,,
283,12/6/2017 9:00,29.252,2755.6,,,,
284,12/6/2017 9:10,29.552,17911.2,,,,
285,12/6/2017 9:20,29.552,14466.8,,,,
286,12/6/2017 9:30,29.552,12400.1,,,,
287,12/6/2017 9:40,29.752,5166.7,,,,
288,12/6/2017 9:50,29.652,8266.7,,,,
289,12/6/2017 10:00,29.552,5511.1,,,,
290,12/6/2017 10:10,29.752,12400.1,,,,
291,12/6/2017 10:20,29.752,7577.8,,,,
292,12/6/2017 10:30,29.853,11711.2,,,,
293,12/6/2017 10:40,29.953,11022.3,,,,
294,12/6/2017 10:50,30.054,49600.3,,,,
295,12/6/2017 11:00,29.853,22044.6,,,,
296,12/6/2017 11:10,30.255,30311.3,,,,
297,12/6/2017 11:20,29.752,6544.5,,,,
